Date,Dividends
14/05/2019,0.64
20/08/2019,0.66
19/11/2019,0.66
18/02/2020,0.66
19/05/2020,0.66
18/08/2020,0.68
17/11/2020,0.68
16/02/2021,0.68
18/05/2021,0.68
17/08/2021,0.9
16/11/2021,0.9
15/02/2022,0.9
17/05/2022,0.9
16/08/2022,1.08
15/11/2022,1.08
14/02/2023,1.08
16/05/2023,1.08
15/08/2023,1.1
14/11/2023,1.1
20/02/2024,1.1
