Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,47.340000,48.283333,47.330002,48.016666,46.563335,22646400
2022-03-15,48.176666,48.716667,47.950001,48.593334,47.122551,22872600
2022-03-16,48.463333,48.980000,47.900002,48.450001,46.983551,24615900
2022-03-17,48.150002,48.433334,47.549999,48.336666,47.054943,19023000
2022-03-18,48.393333,48.523335,48.036667,48.480000,47.194481,31233300
2022-03-21,48.476665,49.096668,47.873333,48.076668,46.801842,21350700
2022-03-22,48.203335,48.323334,47.660000,47.933334,46.662312,20235000
2022-03-23,47.713333,47.910000,47.173332,47.316666,46.061985,19625400
2022-03-24,47.463333,47.970001,47.293331,47.610001,46.347546,13440900
2022-03-25,47.816666,47.976665,47.419998,47.816666,46.548729,14085300
2022-03-28,47.833332,48.686668,47.766666,48.666668,47.376198,20105700
2022-03-29,48.866669,49.366669,48.750000,49.076668,47.775322,19934400
2022-03-30,49.043331,50.060001,49.013332,49.956669,48.631989,24991500
2022-03-31,49.596668,50.180000,49.393333,49.639999,48.323719,27163800
2022-04-01,49.886665,50.423332,49.613335,50.336666,49.001911,20939700
2022-04-04,50.303333,51.066666,50.026669,50.346668,49.011646,25332600
2022-04-05,50.293331,51.110001,50.293331,50.490002,49.151184,18657900
2022-04-06,50.340000,51.806667,50.166668,51.663334,50.293400,28018500
2022-04-07,51.700001,52.513332,51.480000,52.180000,50.796368,27088200
2022-04-08,52.303333,52.803333,52.070000,52.470001,51.078678,23294400
2022-04-11,52.323334,52.746666,51.209999,51.430000,50.066250,24712800
2022-04-12,51.413334,51.799999,50.849998,51.076668,49.722286,26761200
2022-04-13,51.150002,52.596668,51.116669,52.406666,51.017021,29284500
2022-04-14,52.369999,52.763332,52.143333,52.360001,50.971592,22360500
2022-04-18,52.250000,52.660000,51.736668,51.959999,50.582195,14671800
2022-04-19,52.223331,52.650002,52.013332,52.549999,51.156555,15855000
2022-04-20,52.783333,53.450001,52.763332,53.209999,51.799049,19821600
2022-04-21,53.306667,53.590000,53.023335,53.290001,51.876926,18168300
2022-04-22,53.416668,53.453335,52.220001,52.286667,50.900204,21046200
2022-04-25,52.123333,52.490002,51.450001,52.313332,50.926159,18057600
2022-04-26,52.123333,52.709999,51.733334,51.766666,50.393986,19601100
2022-04-27,51.843334,52.066666,51.340000,51.413334,50.050026,17496900
2022-04-28,51.743332,52.326668,51.366669,52.070000,50.689278,14955900
2022-04-29,51.936668,52.073334,50.903332,50.996666,49.644405,21088800
2022-05-02,51.653332,51.663334,50.106667,50.660000,49.316666,20016000
2022-05-03,50.810001,51.426666,50.593334,50.836666,49.488647,17950500
2022-05-04,50.676666,51.606667,50.503334,51.540001,50.173332,20022600
2022-05-05,51.213333,51.276669,50.466667,50.913334,49.743446,23234400
2022-05-06,50.570000,51.316666,49.423332,49.853333,48.707806,34258200
2022-05-09,49.490002,51.033333,49.396667,50.436668,49.277737,28207200
2022-05-10,50.476665,50.763332,49.520000,49.726665,48.584049,24861300
2022-05-11,49.799999,50.250000,48.970001,49.206669,48.075996,27878700
2022-05-12,49.286667,50.049999,48.840000,49.160000,48.030403,25244400
2022-05-13,49.236668,49.459999,48.713333,49.349998,48.216034,19962300
2022-05-16,49.793331,49.910000,48.820000,49.403332,48.268143,21449100
2022-05-17,45.476665,45.813332,43.546665,43.783333,42.777275,132940200
2022-05-18,42.676666,42.756668,40.509998,40.810001,39.872269,104253000
2022-05-19,40.290001,40.596668,39.533333,39.689999,38.777996,71008500
2022-05-20,39.880001,40.279999,39.090000,39.733334,38.820339,49356000
2022-05-23,39.973331,41.256668,39.953335,40.866669,39.927639,43680900
2022-05-24,40.403332,41.516666,40.360001,41.376667,40.425919,34584900
2022-05-25,41.333332,41.556667,40.866669,41.123333,40.178398,27121800
2022-05-26,41.766666,42.133331,41.466667,42.000000,41.034924,28197600
2022-05-27,41.830002,42.873333,41.770000,42.826668,41.842594,25299900
2022-05-31,42.486668,43.299999,42.473331,42.876667,41.891445,36912300
2022-06-01,42.833332,42.973331,41.560001,41.816666,40.855804,28534800
2022-06-02,41.856667,42.509998,41.443333,42.503334,41.526695,23214300
2022-06-03,42.223331,42.473331,41.696667,41.773335,40.813465,18302700
2022-06-06,41.939999,42.099998,41.529999,41.623333,40.666912,19855500
2022-06-07,40.413334,41.163334,40.293331,41.123333,40.178398,47707800
2022-06-08,40.783333,41.303333,40.650002,40.766666,39.829929,22522800
2022-06-09,40.666668,41.450001,40.330002,40.340000,39.413067,19880100
2022-06-10,39.916668,40.913334,39.779999,40.566666,39.634525,25238100
2022-06-13,39.913334,40.413334,39.696667,39.803333,38.888729,24897900
2022-06-14,39.709999,40.000000,39.389999,39.820000,38.905014,21544200
2022-06-15,39.990002,40.136665,39.299999,39.793331,38.878963,25914000
2022-06-16,39.450001,40.586666,39.410000,40.206669,39.282803,30706800
2022-06-17,40.006668,40.293331,39.323334,39.430000,38.523975,36838800
2022-06-21,39.433334,40.926666,39.406666,40.723331,39.787590,23916600
2022-06-22,40.700001,41.083332,40.196667,40.230000,39.305595,20235000
2022-06-23,40.583332,41.320000,40.400002,41.206669,40.259819,18040800
2022-06-24,41.363335,41.770000,41.053333,41.240002,40.292389,31845900
2022-06-27,41.259998,41.580002,40.930000,41.373333,40.422653,19889100
2022-06-28,41.553333,41.856667,40.763332,40.790001,39.852726,15399000
2022-06-29,40.963333,41.116669,40.323334,40.639999,39.706173,19111500
2022-06-30,40.293331,40.686668,39.963333,40.526669,39.595448,19166100
2022-07-01,40.646667,40.973331,40.386665,40.876667,39.937405,17460900
2022-07-05,40.736668,41.503334,40.536667,41.416668,40.464996,18218100
2022-07-06,41.493332,42.093334,41.433334,41.709999,40.751591,21300000
2022-07-07,41.730000,41.843334,41.373333,41.773335,40.813465,17487300
2022-07-08,41.939999,42.203335,41.716667,41.799999,40.839516,14751000
2022-07-11,41.673332,42.110001,41.540001,41.816666,40.855804,11532900
2022-07-12,41.703335,42.376667,41.573334,41.689999,40.732048,13732200
2022-07-13,41.480000,42.153332,41.303333,41.790001,40.829746,12689100
2022-07-14,41.386665,42.773335,41.380001,42.606667,41.627651,20905500
2022-07-15,42.933334,43.423332,42.683334,43.023335,42.034744,21184200
2022-07-18,42.883331,43.433334,42.753334,42.923332,41.937038,14243700
2022-07-19,43.130001,43.320000,42.866669,43.186668,42.194328,16995300
2022-07-20,43.503334,43.770000,43.166668,43.546665,42.546047,18564900
2022-07-21,43.560001,44.186668,43.500000,44.183334,43.168091,18764700
2022-07-22,44.180000,44.463333,43.743332,44.070000,43.057362,13616400
