Symbol,Date,Open,Close,Price_Difference,Percentage_Change
ACI,2020-06-30,15.5,15.81,0.3100000000000005,2.000000000000003
ACI,2020-07-31,15.78,14.86,-0.9199999999999999,-5.830164765525982
ACI,2020-08-31,14.92,13.51,-1.4100000000000001,-9.450402144772118
ACI,2020-09-30,13.5,13.74,0.2400000000000002,1.7777777777777795
ACI,2020-10-31,13.88,14.69,0.8099999999999987,5.835734870316993
ACI,2020-11-30,14.8,14.95,0.14999999999999858,1.0135135135135038
ACI,2020-12-31,14.98,17.58,2.599999999999998,17.35647530040052
ACI,2021-01-31,17.6,17.370001,-0.22999900000000295,-1.3068125000000166
ACI,2021-02-28,17.58,16.17,-1.4099999999999966,-8.02047781569964
ACI,2021-03-31,16.25,18.4,2.1499999999999986,13.230769230769221
ACI,2021-04-30,18.5,18.57,0.07000000000000028,0.37837837837837995
ACI,2021-05-31,18.639999,20.17,1.5300010000000022,8.208160311596595
ACI,2021-06-30,20.17,19.959999,-0.21000100000000188,-1.0411551809618338
ACI,2021-07-31,19.870001,21.6,1.729999000000003,8.706587382657922
ACI,2021-08-31,21.68,33.349998,11.669998,53.828404059040594
ACI,2021-09-30,33.43,29.77,-3.66,-10.948250074783129
ACI,2021-10-31,29.52,30.950001,1.4300010000000007,4.844176829268295
ACI,2021-11-30,31.01,35.700001,4.690000999999999,15.12415672363753
ACI,2021-12-31,35.599998,30.190001,-5.409997000000001,-15.196621640259645
ACI,2022-01-31,30.190001,28.1,-2.0900009999999973,-6.9228252095784875
ACI,2022-02-28,28.190001,36.16,7.969998999999998,28.27243248412796
ACI,2022-03-31,36.720001,33.93,-2.7900010000000037,-7.598041732079483
ACI,2022-04-30,34.200001,31.280001,-2.9200000000000017,-8.538011446256979
ACI,2022-05-31,31.450001,30.940001,-0.5100000000000016,-1.6216215700597325
ACI,2022-06-30,31.290001,27.559999,-3.730001999999999,-11.920747461784993
ACI,2022-07-31,27.73,26.85,-0.879999999999999,-3.173458348359174
ACI,2022-08-31,26.85,27.629999,0.7799990000000001,2.9050242085661084
ACI,2022-09-30,27.889999,24.860001,-3.029997999999999,-10.864102218146366
ACI,2022-10-31,25.0,21.26,-3.7399999999999984,-14.959999999999992
ACI,2022-11-30,21.51,20.98,-0.5300000000000011,-2.46397024639703
ACI,2022-12-31,20.879999,20.74,-0.1399990000000031,-0.6704933271309212
ACI,2023-01-31,20.809999,21.4,0.5900009999999973,2.835180338067279
ACI,2023-02-28,21.42,20.08,-1.3400000000000034,-6.255835667600389
ACI,2023-03-31,20.15,20.780001,0.630001,3.1265558312655086
ACI,2023-04-30,20.860001,20.9,0.03999899999999812,0.19174975111457626
ACI,2023-05-31,20.98,20.5,-0.4800000000000004,-2.287893231649192
ACI,2023-06-30,20.5,21.82,1.3200000000000003,6.439024390243904
ACI,2023-07-31,21.790001,21.75,-0.040001000000000175,-0.18357502599472195
ACI,2023-08-31,21.76,22.459999,0.6999989999999983,3.216907169117639
ACI,2023-09-30,22.4,22.75,0.3500000000000014,1.5625000000000067
ACI,2023-10-31,22.709999,21.950001,-0.7599979999999995,-3.346534713629884
ACI,2023-11-30,21.969999,21.98,0.010000999999999038,0.045521167297272236
ACI,2023-12-31,21.99,23.0,1.0100000000000016,4.592996816734887
ACI,2024-01-31,22.9,21.35,-1.5499999999999972,-6.768558951965053
ACI,2024-02-29,21.299999,20.25,-1.0499989999999997,-4.929573001388402
ACI,2024-03-31,20.209999,20.85,0.6400010000000016,3.166754238830005
COST,2019-03-31,227.529999,242.139999,14.609999999999985,6.421131307612754
COST,2019-04-30,243.070007,244.619995,1.5499879999999848,0.6376714343041036
COST,2019-05-31,242.850006,239.580002,-3.270004,-1.3465118053157472
COST,2019-06-30,239.779999,264.26001,24.48001100000002,10.209363208813766
COST,2019-07-31,266.429993,272.5,6.0700069999999755,2.2782746535597345
COST,2019-08-31,270.089996,294.76001,24.670014000000037,9.133997691643508
COST,2019-09-30,292.570007,291.670013,-0.8999939999999924,-0.3076166313931122
COST,2019-10-31,291.040009,296.089996,5.049986999999987,1.735152159097132
COST,2019-11-30,297.160004,299.809998,2.6499939999999924,0.8917734433736217
COST,2019-12-31,299.75,291.730011,-8.01998900000001,-2.6755592994161836
COST,2020-01-31,290.549988,305.519989,14.970001000000025,5.1522979240322755
COST,2020-02-29,307.0,281.140015,-25.859984999999995,-8.423447882736154
COST,2020-03-31,294.440002,288.649994,-5.790008,-1.966447480189869
COST,2020-04-30,293.0,301.920013,8.920012999999983,3.0443730375426563
COST,2020-05-31,303.0,308.470001,5.470001000000025,1.8052808580858166
COST,2020-06-30,307.899994,305.73999,-2.160004000000015,-0.7015277824266586
COST,2020-07-31,307.529999,325.529999,18.0,5.853087522690754
COST,2020-08-31,325.549988,346.570007,21.02001899999999,6.456771548091715
COST,2020-09-30,343.839996,355.01001,11.170014000000037,3.24860811131467
COST,2020-10-31,355.329987,357.619995,2.2900080000000003,0.6444736115108687
COST,2020-11-30,362.220001,373.429993,11.209992,3.0948020454563467
COST,2020-12-31,374.269989,376.779999,2.5100099999999657,0.6706415351939868
COST,2021-01-31,377.429993,352.429993,-25.0,-6.62374492320752
COST,2021-02-28,351.209991,331.0,-20.209991000000002,-5.754389544117497
COST,2021-03-31,335.209991,354.940002,19.73001099999999,5.885866033151736
COST,2021-04-30,357.5,372.089996,14.589995999999985,4.081117762237758
COST,2021-05-31,373.839996,387.519989,13.679993000000024,3.659317661666149
COST,2021-06-30,385.470001,398.940002,13.470000999999968,3.4944356149779776
