Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,373.899994,374.709991,365.290009,372.089996,356.145599,9208400
2021-05-03,373.839996,386.450012,372.049988,384.320007,368.639496,11183400
2021-05-10,385.489990,387.890015,371.109985,384.420013,368.735443,10102200
2021-05-17,385.040009,389.450012,376.130005,380.720001,365.186432,8387900
2021-05-24,384.339996,387.769989,377.029999,378.269989,362.836365,13817900
2021-05-31,379.929993,387.760010,375.500000,387.519989,371.708954,7545000
2021-06-07,385.470001,386.450012,377.690002,381.829987,366.251099,8276700
2021-06-14,380.790009,386.470001,377.119995,380.880005,365.339813,9808500
2021-06-21,382.250000,395.500000,380.559998,394.510010,378.413727,8647800
2021-06-28,395.000000,400.769989,393.130005,398.940002,382.663055,8400800
2021-07-05,399.839996,414.000000,397.109985,412.369995,395.545044,8961400
2021-07-12,414.040009,414.350006,404.529999,410.369995,393.626648,8605400
2021-07-19,410.059998,423.989990,410.049988,423.429993,406.153778,8502200
2021-07-26,423.399994,431.500000,420.350006,429.720001,412.187164,7967300
2021-08-02,430.619995,443.500000,425.480011,439.630005,422.483337,7627900
2021-08-09,440.649994,448.359985,439.309998,447.820007,430.353973,8173700
2021-08-16,447.910004,460.619995,441.309998,458.989990,441.088257,9347300
2021-08-23,457.269989,459.059998,446.700012,450.339996,432.775604,7627000
2021-08-30,451.040009,463.600006,450.440002,462.549988,444.509369,7001600
2021-09-06,462.500000,469.769989,457.630005,465.160004,447.017639,5558900
2021-09-13,467.059998,468.239990,456.140015,459.510010,441.587891,9822600
2021-09-20,456.630005,468.720001,446.619995,467.750000,449.506561,10929100
2021-09-27,465.549988,470.489990,440.760010,448.329987,430.843933,10777800
2021-10-04,448.339996,459.589996,436.170013,451.850006,434.226746,8919300
2021-10-11,450.040009,453.940002,444.070007,452.390015,434.745636,6989300
2021-10-18,449.609985,485.029999,448.500000,481.989990,463.191132,7993100
2021-10-25,481.989990,494.170013,479.500000,491.540009,472.368744,9857800
2021-11-01,494.149994,520.210022,487.200012,513.119995,493.904755,10103600
2021-11-08,513.409973,519.659973,500.200012,517.169983,497.803131,8950700
2021-11-15,518.489990,535.280029,517.409973,533.789978,513.800781,8266400
2021-11-22,533.320007,554.549988,532.320007,546.130005,525.678589,8498700
2021-11-29,546.130005,560.780029,514.039978,528.929993,509.122711,16302300
2021-12-06,532.250000,561.270020,523.799988,558.820007,537.893433,17584300
2021-12-13,550.440002,566.549988,537.570007,547.609985,527.103149,18281700
2021-12-20,542.130005,552.609985,536.080017,550.369995,529.759827,7718700
2021-12-27,551.539978,571.489990,551.440002,567.700012,546.440796,8018800
2022-01-03,565.030029,568.719971,534.239990,536.179993,516.101135,12526100
2022-01-10,529.289978,530.409973,501.859985,502.989990,484.154114,15404200
2022-01-17,494.459991,499.880005,481.320007,481.609985,463.574707,12700600
2022-01-24,475.549988,495.790009,469.010010,492.429993,473.989532,14855100
2022-01-31,492.000000,526.440002,490.630005,519.770020,500.305725,12428000
2022-02-07,521.299988,534.239990,507.380005,509.670013,491.327545,10490900
2022-02-14,508.989990,518.210022,501.440002,512.669983,494.219543,9682500
2022-02-21,510.000000,518.250000,482.980011,517.489990,498.866058,9336000
2022-02-28,514.299988,538.960022,511.299988,525.500000,506.587738,15566100
2022-03-07,523.450012,545.289978,515.710022,527.419983,508.438660,13849100
2022-03-14,527.770020,562.549988,523.539978,561.349976,541.147644,13087100
2022-03-21,560.140015,566.750000,549.219971,555.710022,535.710693,10050300
2022-03-28,556.739990,586.320007,553.500000,575.570007,554.856018,11521300
2022-04-04,573.940002,612.270020,570.369995,600.039978,578.445129,14709200
2022-04-11,598.789978,601.000000,578.760010,590.390015,569.142395,9352700
2022-04-18,585.380005,609.179993,571.049988,571.700012,551.125122,11189100
2022-04-25,570.309998,570.330017,529.700012,531.719971,512.583923,12560200
2022-05-02,532.229980,546.140015,498.820007,503.359985,486.034058,15704400
2022-05-09,496.100006,510.630005,479.760010,497.269989,480.153687,13973100
2022-05-16,496.140015,497.679993,406.510010,416.429993,402.096222,24648700
2022-05-23,420.000000,474.880005,416.670013,470.760010,454.556213,22022900
2022-05-30,470.760010,491.130005,456.700012,476.250000,459.857208,14551900
2022-06-06,480.500000,484.239990,457.760010,463.309998,447.362610,12066900
2022-06-13,450.000000,464.359985,443.200012,446.690002,431.314697,14118200
2022-06-20,450.549988,484.829987,449.140015,484.369995,467.697723,9140800
2022-06-27,485.809998,491.250000,464.720001,485.760010,469.039886,11577700
2022-07-04,485.559998,505.519989,478.459991,501.540009,484.276733,9484700
2022-07-11,501.119995,524.799988,483.820007,522.950012,504.949707,13655500
2022-07-18,521.859985,537.109985,515.669983,529.719971,511.486755,10112700
2022-07-25,531.419983,542.119995,508.760010,541.299988,522.668152,11062400
2022-08-01,541.419983,552.710022,533.349976,540.669983,522.960999,9645500
2022-08-08,543.840027,549.909973,531.890015,537.210022,519.614319,9816400
2022-08-15,536.400024,564.750000,535.679993,554.530029,536.367004,9417400
2022-08-22,553.000000,553.000000,531.669983,531.820007,514.400818,7735800
2022-08-29,527.030029,536.010010,516.049988,519.109985,502.107117,9814700
2022-09-05,520.159973,538.059998,512.530029,536.580017,519.004883,7293000
2022-09-12,537.729980,542.599976,497.299988,504.140015,487.627502,11165500
2022-09-19,502.160004,506.709991,463.529999,466.399994,451.123566,13877900
2022-09-26,465.869995,491.549988,465.209991,472.269989,456.801361,13234400
2022-10-03,474.500000,493.880005,466.119995,468.149994,452.816254,11100600
2022-10-10,469.690002,479.739990,449.029999,454.649994,439.758484,11694100
2022-10-17,461.649994,479.570007,460.480011,478.179993,462.517761,9387000
2022-10-24,481.609985,512.820007,481.010010,510.869995,494.137024,10531700
2022-10-31,509.640015,509.640015,476.489990,486.410004,471.327484,10240600
2022-11-07,477.049988,516.840027,474.500000,515.469971,499.486420,10878200
2022-11-14,515.770020,529.799988,509.420013,523.669983,507.432159,9642900
2022-11-21,525.739990,536.799988,522.080017,533.659973,517.112366,5109800
2022-11-28,530.890015,542.580017,492.109985,494.529999,479.195709,17574300
2022-12-05,492.500000,492.700012,470.500000,483.019989,468.042633,14635900
2022-12-12,482.730011,497.970001,456.880005,461.450012,447.141449,15395000
2022-12-19,460.920013,463.690002,452.529999,462.649994,448.304260,8530900
2022-12-26,464.399994,464.700012,450.750000,456.500000,442.344940,5823100
2023-01-02,458.000000,484.420013,447.899994,482.869995,467.897278,11419200
2023-01-09,482.929993,486.869995,475.480011,485.250000,470.203461,8645200
2023-01-16,485.130005,490.480011,468.070007,480.109985,465.222839,7973500
2023-01-23,479.950012,509.100006,477.600006,503.290009,487.684113,9159900
2023-01-30,500.369995,530.049988,500.369995,514.799988,498.837219,9991700
2023-02-06,514.440002,517.989990,495.380005,499.989990,485.329803,8784400
2023-02-13,501.739990,511.420013,498.630005,507.480011,492.600189,6928900
2023-02-20,500.820007,505.459991,484.700012,488.609985,474.283447,6277700
2023-02-27,492.549988,493.000000,465.329987,475.260010,461.324921,12912600
2023-03-06,476.519989,495.209991,468.380005,471.140015,457.325745,11064700
2023-03-13,466.799988,489.899994,466.799988,487.049988,472.769226,12387700
2023-03-20,488.000000,496.619995,484.290009,495.269989,480.748199,7788600
2023-03-27,497.279999,499.859985,485.410004,496.869995,482.301270,8130400
2023-04-03,496.500000,504.130005,477.500000,485.980011,471.730591,9774200
2023-04-10,483.899994,500.369995,481.660004,491.299988,476.894623,8540500
2023-04-17,492.769989,510.660004,491.149994,506.350006,491.503326,8295300
2023-04-24,506.100006,513.130005,493.390015,503.220001,488.465088,7136900
2023-05-01,499.149994,500.049988,485.929993,499.059998,484.427063,8765600
2023-05-08,497.369995,506.029999,495.100006,504.070007,490.310730,6363000
2023-05-15,504.010010,505.000000,491.899994,496.519989,482.966766,8367800
2023-05-22,497.000000,510.750000,476.750000,507.260010,493.413666,14069100
2023-05-29,509.790009,518.500000,501.589996,512.590027,498.598175,10557200
2023-06-05,512.590027,522.059998,510.570007,517.280029,503.160187,8036200
2023-06-12,517.280029,531.260010,516.000000,523.650024,509.356232,9469600
2023-06-19,521.950012,525.400024,516.539978,524.440002,510.124664,5505700
2023-06-26,524.400024,539.559998,521.260010,538.380005,523.684143,7541000
2023-07-03,537.250000,546.049988,524.630005,525.049988,510.718018,7071400
2023-07-10,525.059998,546.859985,525.059998,546.700012,531.777100,8654000
2023-07-17,546.179993,562.049988,546.099976,557.859985,542.632446,11946900
2023-07-24,558.000000,571.159973,555.880005,563.320007,547.943420,7852000
2023-07-31,563.000000,564.289978,551.020020,552.039978,536.971252,7051100
2023-08-07,554.989990,569.210022,551.840027,562.960022,547.593262,5657900
2023-08-14,564.770020,567.710022,543.109985,544.940002,530.065063,7531700
2023-08-21,543.859985,545.150024,530.559998,534.010010,519.433472,7756900
2023-08-28,536.000000,553.479980,533.119995,544.250000,530.394226,7231000
2023-09-04,545.729980,552.380005,540.179993,551.190002,537.157532,5606200
2023-09-11,552.809998,566.700012,551.859985,556.359985,542.195923,7809000
2023-09-18,558.179993,569.219971,554.280029,558.590027,544.369202,6674300
2023-09-25,559.489990,572.179993,544.729980,564.960022,550.576965,12408800
2023-10-02,567.909973,576.190002,542.630005,557.530029,543.336121,11463500
2023-10-09,555.000000,569.140015,549.780029,566.840027,552.409119,8110000
2023-10-16,569.690002,577.299988,552.010010,552.929993,538.853271,8458900
2023-10-23,554.140015,556.919983,540.229980,543.030029,529.205322,8641000
2023-10-30,545.739990,562.989990,543.640015,560.900024,546.620300,8753100
2023-11-06,560.489990,577.890015,560.130005,577.119995,563.459534,7970800
2023-11-13,575.000000,599.890015,572.239990,577.150024,563.488892,10581700
2023-11-20,577.340027,594.200012,577.340027,591.359985,577.362488,4512200
2023-11-27,592.520020,599.940002,582.830017,596.250000,582.136780,7463900
2023-12-04,592.150024,613.609985,591.460022,610.780029,596.322876,9400100
2023-12-11,621.969971,661.880005,618.760010,658.820007,643.225769,19595000
2023-12-18,664.500000,681.909973,659.450012,671.599976,655.703186,16981300
2023-12-25,673.010010,675.859985,657.159973,660.080017,644.455933,7094600
2024-01-01,655.580017,659.650024,640.510010,656.010010,655.047058,9673500
2024-01-08,655.809998,683.719971,654.030029,683.239990,682.237061,9991800
2024-01-15,683.239990,696.130005,678.159973,694.969971,693.949829,7575100
2024-01-22,695.429993,698.659973,675.960022,686.880005,685.871765,11185400
2024-01-29,689.900024,714.280029,686.260010,709.479980,708.438538,10171000
2024-02-05,710.640015,728.169983,704.340027,723.400024,723.400024,9687200
2024-02-12,723.520020,729.059998,709.039978,723.989990,723.989990,8024900
2024-02-19,728.030029,742.510010,720.270020,737.929993,737.929993,7040600
2024-02-26,742.000000,752.559998,739.000000,749.440002,749.440002,9577300
2024-03-04,755.080017,787.080017,725.099976,725.559998,725.559998,19644200
2024-03-11,719.809998,720.000000,711.010010,714.080017,714.080017,3762500
